,0,ID,Mileage,Age,Drive-City,Drive-Highway,Drive-Rural,First New,Gender,Income,Education,Conquest,Consumer Reports,Knowledgeable,Fuel Grade,Grade,Marital Status_Divorced/Widowed/Separated,Marital Status_Living With Sig Oth/Dom Prtnr,Marital Status_Married,Marital Status_Single/Not Married
208,1,20271,3,45,0,1,0,0,0,4,5,1,0,1,1,2,0.0,0.0,1.0,0.0
209,3,47935,2,24,1,1,0,1,1,4,1,1,0,0,1,2,0.0,0.0,1.0,0.0
210,5,30638,2,49,1,0,0,0,0,4,3,1,0,0,1,1,0.0,0.0,1.0,0.0
211,0,22271,2,55,0,0,1,0,0,2,7,0,0,0,1,2,0.0,0.0,1.0,0.0
212,3,10270,2,22,1,0,0,1,0,2,2,1,0,0,1,1,0.0,0.0,0.0,1.0
213,0,49330,2,55,0,1,0,0,0,3,4,1,0,1,1,2,0.0,0.0,1.0,0.0
214,7,36962,1,30,1,0,0,1,0,4,4,1,0,1,1,1,0.0,0.0,1.0,0.0
215,1,58054,1,39,1,0,0,0,1,1,4,1,0,0,3,2,1.0,0.0,0.0,0.0
216,1,6200,2,46,1,0,0,0,1,5,6,0,0,0,1,2,1.0,0.0,0.0,0.0
217,5,21602,2,47,1,0,0,0,1,2,2,0,0,0,1,1,0.0,0.0,1.0,0.0
218,4,36787,1,65,1,0,0,0,1,2,1,0,0,0,1,1,1.0,0.0,0.0,0.0
219,3,35255,1,26,1,0,0,1,1,5,2,1,0,0,3,2,0.0,0.0,0.0,1.0
220,1,626,3,39,1,0,0,0,1,4,2,1,0,0,1,1,0.0,0.0,0.0,1.0
221,3,45075,2,22,1,0,0,1,0,4,3,1,0,0,1,2,0.0,1.0,0.0,0.0
222,7,48421,2,38,1,1,0,0,1,2,4,0,0,1,1,2,1.0,0.0,0.0,0.0
223,3,20728,3,22,0,1,0,0,0,4,1,0,0,0,1,1,0.0,0.0,0.0,1.0
224,7,6040,2,31,1,0,0,1,1,2,2,0,0,0,1,1,0.0,0.0,1.0,0.0
225,1,11034,2,45,0,0,1,0,1,3,2,1,0,0,1,1,0.0,0.0,1.0,0.0
226,7,44273,2,31,0,1,0,0,0,2,5,0,0,0,1,3,0.0,0.0,1.0,0.0
227,3,51671,2,25,1,1,0,1,1,4,3,0,0,0,3,3,0.0,0.0,0.0,1.0
228,3,59606,2,25,1,0,0,1,1,3,2,1,0,0,1,1,0.0,0.0,0.0,1.0
229,3,14416,1,26,1,1,0,1,1,2,2,0,0,0,1,1,0.0,1.0,0.0,0.0
230,4,2099,2,63,0,1,0,0,1,4,4,0,0,0,1,2,0.0,0.0,1.0,0.0
231,6,51574,2,69,1,1,0,0,0,2,4,0,0,0,1,3,1.0,0.0,0.0,0.0
232,5,53466,2,49,1,0,0,0,1,4,2,0,0,0,1,1,1.0,0.0,0.0,0.0
233,3,5029,2,22,1,0,0,1,0,4,2,0,0,0,1,1,0.0,0.0,0.0,1.0
234,6,47281,2,70,0,1,0,1,1,3,2,0,0,1,1,2,0.0,0.0,0.0,1.0
235,4,36976,1,64,1,0,0,0,0,2,2,1,1,1,1,1,0.0,0.0,1.0,0.0
236,5,27746,2,53,0,1,0,0,1,5,3,1,1,0,1,2,0.0,0.0,0.0,1.0
237,4,26740,2,62,0,0,1,0,0,3,2,1,0,0,1,2,0.0,0.0,1.0,0.0
238,5,35319,1,50,1,0,0,0,1,2,3,1,0,0,1,2,1.0,0.0,0.0,0.0
239,1,53572,2,45,1,0,0,0,0,4,4,1,0,0,1,3,0.0,0.0,1.0,0.0
240,6,20249,3,66,0,1,0,1,0,2,4,1,0,0,1,3,0.0,0.0,1.0,0.0
241,2,54128,1,74,1,0,0,0,1,3,3,1,0,0,1,3,1.0,0.0,0.0,0.0
242,5,2075,2,49,1,0,0,0,0,5,5,1,0,0,1,2,0.0,0.0,1.0,0.0
243,6,2928,2,70,0,0,1,0,0,4,4,0,1,0,1,2,1.0,0.0,0.0,0.0
244,4,53299,2,63,0,1,0,0,0,5,4,0,1,0,1,2,0.0,0.0,1.0,0.0
245,1,12038,2,43,0,1,0,0,1,4,6,0,0,0,1,3,0.0,0.0,1.0,0.0
246,1,19533,3,40,0,1,0,0,0,3,3,0,0,0,2,1,0.0,0.0,1.0,0.0
247,4,47028,2,60,1,0,0,0,1,3,4,0,1,0,1,3,1.0,0.0,0.0,0.0
248,6,34793,2,66,1,0,0,0,0,4,4,0,0,0,3,3,0.0,0.0,1.0,0.0
249,2,14631,1,75,1,0,0,0,0,4,3,1,1,0,2,3,0.0,0.0,1.0,0.0
250,3,51759,2,28,1,1,0,1,1,5,5,1,0,0,1,2,0.0,1.0,0.0,0.0
251,4,58985,2,61,1,0,0,0,0,5,5,1,0,0,2,2,0.0,0.0,1.0,0.0
252,6,38205,1,72,1,0,0,0,1,2,2,1,0,0,1,3,1.0,0.0,0.0,0.0
253,4,1668,2,61,0,1,0,0,0,3,5,1,0,1,1,3,0.0,0.0,1.0,0.0
254,2,30634,2,79,1,0,0,0,0,5,5,1,1,0,1,3,0.0,0.0,1.0,0.0
255,0,13214,1,54,0,0,1,0,1,5,5,1,0,0,1,3,0.0,0.0,1.0,0.0
256,6,15397,1,69,0,0,1,0,0,2,4,0,0,0,1,2,0.0,0.0,1.0,0.0
257,0,12518,2,57,1,1,0,0,0,2,5,0,0,0,1,2,0.0,0.0,1.0,0.0
258,1,13183,1,41,0,0,1,0,1,3,3,1,0,0,1,2,1.0,0.0,0.0,0.0
